date,close,asset,ticker_used
2023-01-03,112.640625,bonds,ZN=F
2023-01-04,113.1875,bonds,ZN=F
2023-01-05,113.015625,bonds,ZN=F
2023-01-06,114.21875,bonds,ZN=F
2023-01-09,114.625,bonds,ZN=F
2023-01-10,114.0,bonds,ZN=F
2023-01-11,114.4375,bonds,ZN=F
2023-01-12,115.234375,bonds,ZN=F
2023-01-13,114.765625,bonds,ZN=F
2023-01-17,114.671875,bonds,ZN=F
2023-01-18,115.90625,bonds,ZN=F
2023-01-19,115.640625,bonds,ZN=F
2023-01-20,115.0625,bonds,ZN=F
2023-01-23,114.6875,bonds,ZN=F
2023-01-24,115.03125,bonds,ZN=F
2023-01-25,115.140625,bonds,ZN=F
2023-01-26,114.859375,bonds,ZN=F
2023-01-27,114.609375,bonds,ZN=F
2023-01-30,114.28125,bonds,ZN=F
2023-01-31,114.515625,bonds,ZN=F
2023-02-01,115.484375,bonds,ZN=F
2023-02-02,115.546875,bonds,ZN=F
2023-02-03,114.421875,bonds,ZN=F
2023-02-06,113.5,bonds,ZN=F
2023-02-07,113.234375,bonds,ZN=F
2023-02-08,113.40625,bonds,ZN=F
2023-02-09,113.03125,bonds,ZN=F
2023-02-10,112.6875,bonds,ZN=F
2023-02-13,112.78125,bonds,ZN=F
2023-02-14,112.328125,bonds,ZN=F
2023-02-15,112.046875,bonds,ZN=F
2023-02-16,111.890625,bonds,ZN=F
2023-02-17,112.0,bonds,ZN=F
2023-02-21,111.0625,bonds,ZN=F
2023-02-22,111.203125,bonds,ZN=F
2023-02-23,111.4375,bonds,ZN=F
2023-02-24,110.921875,bonds,ZN=F
2023-02-27,111.140625,bonds,ZN=F
2023-02-28,111.171875,bonds,ZN=F
2023-03-01,110.5625,bonds,ZN=F
2023-03-02,110.09375,bonds,ZN=F
2023-03-03,110.65625,bonds,ZN=F
2023-03-06,110.5625,bonds,ZN=F
2023-03-07,110.515625,bonds,ZN=F
2023-03-08,110.453125,bonds,ZN=F
2023-03-09,111.015625,bonds,ZN=F
2023-03-10,112.625,bonds,ZN=F
2023-03-13,114.140625,bonds,ZN=F
2023-03-14,113.34375,bonds,ZN=F
2023-03-15,114.53125,bonds,ZN=F
2023-03-16,113.65625,bonds,ZN=F
2023-03-17,115.125,bonds,ZN=F
2023-03-20,114.59375,bonds,ZN=F
2023-03-21,113.640625,bonds,ZN=F
2023-03-22,113.71875,bonds,ZN=F
2023-03-23,115.984375,bonds,ZN=F
2023-03-24,116.109375,bonds,ZN=F
2023-03-27,114.984375,bonds,ZN=F
2023-03-28,114.640625,bonds,ZN=F
2023-03-29,114.53125,bonds,ZN=F
2023-03-30,114.578125,bonds,ZN=F
2023-03-31,114.921875,bonds,ZN=F
2023-04-03,115.453125,bonds,ZN=F
2023-04-04,116.25,bonds,ZN=F
2023-04-05,116.578125,bonds,ZN=F
2023-04-06,116.546875,bonds,ZN=F
2023-04-10,115.515625,bonds,ZN=F
2023-04-11,115.375,bonds,ZN=F
2023-04-12,115.703125,bonds,ZN=F
2023-04-13,115.453125,bonds,ZN=F
2023-04-14,114.859375,bonds,ZN=F
2023-04-17,114.359375,bonds,ZN=F
2023-04-18,114.484375,bonds,ZN=F
2023-04-19,114.1875,bonds,ZN=F
2023-04-20,114.65625,bonds,ZN=F
2023-04-21,114.46875,bonds,ZN=F
2023-04-24,114.875,bonds,ZN=F
2023-04-25,115.796875,bonds,ZN=F
2023-04-26,115.546875,bonds,ZN=F
2023-04-27,114.734375,bonds,ZN=F
2023-04-28,115.203125,bonds,ZN=F
2023-05-01,114.5,bonds,ZN=F
2023-05-02,115.5625,bonds,ZN=F
2023-05-03,115.90625,bonds,ZN=F
2023-05-04,116.5625,bonds,ZN=F
2023-05-05,115.71875,bonds,ZN=F
2023-05-08,115.171875,bonds,ZN=F
2023-05-09,115.1875,bonds,ZN=F
2023-05-10,115.90625,bonds,ZN=F
2023-05-11,116.046875,bonds,ZN=F
2023-05-12,115.4375,bonds,ZN=F
2023-05-15,115.234375,bonds,ZN=F
2023-05-16,114.921875,bonds,ZN=F
2023-05-17,114.578125,bonds,ZN=F
2023-05-18,113.921875,bonds,ZN=F
2023-05-19,113.5625,bonds,ZN=F
2023-05-22,113.46875,bonds,ZN=F
2023-05-23,113.609375,bonds,ZN=F
2023-05-24,113.421875,bonds,ZN=F
2023-05-25,112.625,bonds,ZN=F
2023-05-26,112.40625,bonds,ZN=F
2023-05-30,113.171875,bonds,ZN=F
2023-05-31,113.625,bonds,ZN=F
2023-06-01,113.921875,bonds,ZN=F
2023-06-02,113.046875,bonds,ZN=F
2023-06-05,113.109375,bonds,ZN=F
2023-06-06,113.03125,bonds,ZN=F
2023-06-07,112.53125,bonds,ZN=F
2023-06-08,113.03125,bonds,ZN=F
2023-06-09,112.65625,bonds,ZN=F
2023-06-12,112.703125,bonds,ZN=F
2023-06-13,112.015625,bonds,ZN=F
2023-06-14,112.203125,bonds,ZN=F
2023-06-15,112.828125,bonds,ZN=F
2023-06-16,112.40625,bonds,ZN=F
2023-06-20,112.671875,bonds,ZN=F
2023-06-21,112.46875,bonds,ZN=F
2023-06-22,112.734375,bonds,ZN=F
2023-06-23,113.078125,bonds,ZN=F
2023-06-26,113.234375,bonds,ZN=F
2023-06-27,112.828125,bonds,ZN=F
2023-06-28,113.25,bonds,ZN=F
2023-06-29,112.125,bonds,ZN=F
2023-06-30,112.265625,bonds,ZN=F
2023-07-03,111.9375,bonds,ZN=F
2023-07-05,111.359375,bonds,ZN=F
2023-07-06,110.609375,bonds,ZN=F
2023-07-07,110.671875,bonds,ZN=F
2023-07-10,111.140625,bonds,ZN=F
2023-07-11,111.265625,bonds,ZN=F
2023-07-12,112.265625,bonds,ZN=F
2023-07-13,113.046875,bonds,ZN=F
2023-07-14,112.5625,bonds,ZN=F
2023-07-17,112.71875,bonds,ZN=F
2023-07-18,112.75,bonds,ZN=F
2023-07-19,113.0,bonds,ZN=F
2023-07-20,112.140625,bonds,ZN=F
2023-07-21,112.234375,bonds,ZN=F
2023-07-24,112.0625,bonds,ZN=F
2023-07-25,111.609375,bonds,ZN=F
2023-07-26,112.140625,bonds,ZN=F
2023-07-27,111.015625,bonds,ZN=F
2023-07-28,111.34375,bonds,ZN=F
2023-07-31,111.40625,bonds,ZN=F
2023-08-01,110.875,bonds,ZN=F
2023-08-02,110.796875,bonds,ZN=F
2023-08-03,110.234375,bonds,ZN=F
2023-08-04,111.140625,bonds,ZN=F
2023-08-07,111.125,bonds,ZN=F
2023-08-08,111.40625,bonds,ZN=F
2023-08-09,111.390625,bonds,ZN=F
2023-08-10,110.859375,bonds,ZN=F
2023-08-11,110.1875,bonds,ZN=F
2023-08-14,110.0,bonds,ZN=F
2023-08-15,109.765625,bonds,ZN=F
2023-08-16,109.5625,bonds,ZN=F
2023-08-17,109.28125,bonds,ZN=F
2023-08-18,109.640625,bonds,ZN=F
2023-08-21,109.078125,bonds,ZN=F
2023-08-22,109.0625,bonds,ZN=F
2023-08-23,109.90625,bonds,ZN=F
2023-08-24,109.59375,bonds,ZN=F
2023-08-25,109.4375,bonds,ZN=F
2023-08-28,109.640625,bonds,ZN=F
2023-08-29,110.328125,bonds,ZN=F
2023-08-30,110.359375,bonds,ZN=F
2023-08-31,110.5625,bonds,ZN=F
2023-09-01,110.15625,bonds,ZN=F
2023-09-05,109.546875,bonds,ZN=F
2023-09-06,109.28125,bonds,ZN=F
2023-09-07,109.609375,bonds,ZN=F
2023-09-08,109.53125,bonds,ZN=F
2023-09-11,109.40625,bonds,ZN=F
2023-09-12,109.515625,bonds,ZN=F
2023-09-13,109.640625,bonds,ZN=F
2023-09-14,109.359375,bonds,ZN=F
2023-09-15,109.171875,bonds,ZN=F
2023-09-18,109.203125,bonds,ZN=F
2023-09-19,108.828125,bonds,ZN=F
2023-09-20,109.1875,bonds,ZN=F
2023-09-21,108.421875,bonds,ZN=F
2023-09-22,108.6875,bonds,ZN=F
2023-09-25,108.171875,bonds,ZN=F
2023-09-26,108.109375,bonds,ZN=F
2023-09-27,107.578125,bonds,ZN=F
2023-09-28,107.859375,bonds,ZN=F
2023-09-29,108.0625,bonds,ZN=F
2023-10-02,107.328125,bonds,ZN=F
2023-10-03,106.640625,bonds,ZN=F
2023-10-04,107.109375,bonds,ZN=F
2023-10-05,107.3125,bonds,ZN=F
2023-10-06,106.84375,bonds,ZN=F
2023-10-09,107.84375,bonds,ZN=F
2023-10-10,107.71875,bonds,ZN=F
2023-10-11,107.9375,bonds,ZN=F
2023-10-12,107.234375,bonds,ZN=F
2023-10-13,107.71875,bonds,ZN=F
2023-10-16,107.203125,bonds,ZN=F
2023-10-17,106.21875,bonds,ZN=F
2023-10-18,105.875,bonds,ZN=F
2023-10-19,105.421875,bonds,ZN=F
2023-10-20,106.0,bonds,ZN=F
2023-10-23,106.484375,bonds,ZN=F
2023-10-24,106.359375,bonds,ZN=F
2023-10-25,105.671875,bonds,ZN=F
2023-10-26,106.34375,bonds,ZN=F
2023-10-27,106.421875,bonds,ZN=F
2023-10-30,106.21875,bonds,ZN=F
2023-10-31,106.171875,bonds,ZN=F
2023-11-01,106.859375,bonds,ZN=F
2023-11-02,107.484375,bonds,ZN=F
2023-11-03,108.359375,bonds,ZN=F
2023-11-06,107.59375,bonds,ZN=F
2023-11-07,108.125,bonds,ZN=F
2023-11-08,108.328125,bonds,ZN=F
2023-11-09,107.53125,bonds,ZN=F
2023-11-10,107.421875,bonds,ZN=F
2023-11-13,107.4375,bonds,ZN=F
2023-11-14,108.90625,bonds,ZN=F
2023-11-15,108.21875,bonds,ZN=F
2023-11-16,108.859375,bonds,ZN=F
2023-11-17,108.75,bonds,ZN=F
2023-11-20,108.84375,bonds,ZN=F
2023-11-21,108.9375,bonds,ZN=F
2023-11-22,108.8125,bonds,ZN=F
2023-11-23,108.59375,bonds,ZN=F
